Name,Stars,Review
Poonam k.,5.0 out of 5 stars,Good
1 big bowl sent,4.0 out of 5 stars,Good
Garvika kaushik,5.0 out of 5 stars,Good
Dimpal,5.0 out of 5 stars,Good
Sudeshna Mohapatra,3.0 out of 5 stars,Good
Ritu Singh,5.0 out of 5 stars,Good
Rahul kumar,4.0 out of 5 stars,Good
Manish Rao,5.0 out of 5 stars,Good
Placeholder,4.0 out of 5 stars,Good
Anup,4.0 out of 5 stars,Good
